#Name (cmd = mergePeaks 03_motif/cluster_2_homer_VS_bgPeaks/bg.clean.pos 03_motif/cluster_2_homer_VS_bgPeaks/target.clean..pos -d given -cobound 1 -prefix 03_motif/cluster_2_homer_VS_bgPeaks/0.112137839970277.2.tmp)	chr	start	end	strand	stat	stat2	03_motif/cluster_2_homer_VS_bgPeaks/target.clean..pos
BG1540.93_r1	12	112588401	112589400	+	3.05	0.000	1217.57_r6
BG2437.74_r1	10	39469351	39470900	+	3.58	0.000	2437.74_r1
BG2437.74_r2	10	39731351	39733400	+	2.39	0.000	1026.51,816.694_r1,2437.74_r2
BG2437.74_r3	14	20025151	20025850	+	6.48	0.000	998.762_r2,2437.74_r3
BG833.029_r1	14	66296501	66297250	+	2.78	0.000	833.029_r1
BG833.029_r2	16	97961001	97962300	+	1.47	0.000	833.029_r2
BG833.029_r4	17	64331951	64333050	+	2.45	0.000	833.029_r4,906.284_r8
BG833.029_r5	17	84180751	84181850	+	2.29	0.000	4705.02_r1
BG833.029_r6	4	152325701	152326350	+	2.12	0.000	1593.91_r12,833.029_r6
BG833.029_r7	7	43399701	43400450	+	1.96	0.000	833.029_r7
BG833.029_r8	7	45704801	45705500	+	3.59	0.000	961.771_r10,833.029_r8
BG833.029_r9	7	68283451	68284550	+	1.80	0.000	1755.86_r13,833.029_r9
BG2795.74_r2	5	33628701	33630350	+	4.77	0.000	1217.57_r9
BG1698.72_r1	17	83276851	83277900	+	3.92	0.000	1698.72_r1
BG1233.21_r2	17	7874351	7875650	+	2.61	0.000	1192.97_r5,1233.21_r2
BG1233.21_r3	17	45488251	45489400	+	2.12	0.000	1233.21_r3,2898.02,628.85_r9
BG1233.21_r4	17	84119301	84120100	+	3.43	0.000	2898.02_r1
BG1233.21_r6	2	11657451	11658100	+	4.08	0.000	1233.21_r6
BG1233.21_r7	3	104511651	104513200	+	3.27	0.000	657.965_r3,1233.21_r7
BG1804.89	11	87757901	87759900	+	3.43	0.000	2684.93_r1,1804.89,786.063_r4
BG792.193_r1	11	106165101	106165950	+	1.31	0.000	2258.75_r2,792.193_r1
BG792.193_r2	18	80169551	80170550	+	2.29	0.000	1142.06_r2,1636.53_r4,792.193_r2
BG792.193_r3	18	80685851	80686650	+	2.61	0.000	2062.71_r2,792.193_r3,1146.73_r2
BG792.193_r4	2	112510001	112510350	+	2.61	0.000	712.08_r8,792.193_r4
BG792.193_r6	3	52670501	52671350	+	1.80	0.000	792.193_r6
BG792.193_r7	7	104352801	104353750	+	1.31	0.000	792.193_r7,697.246_r11
BG792.193_r8	7	128238051	128238600	+	2.78	0.000	2821.31_r3,934.028,792.193_r8,1620.36_r4
BG792.193_r9	X	140956401	140957200	+	1.63	0.000	792.193_r9
BG721.328_r10	4	137853651	137854350	+	1.66	0.000	2335.46_r8
BG721.328_r11	5	107946251	107947100	+	1.48	0.000	721.328_r11
BG721.328_r12	6	47813401	47814000	+	2.22	0.000	721.328_r12
BG721.328_r13	8	64804801	64805450	+	2.22	0.000	721.328_r13,638.324_r10
BG721.328_r14	8	105289151	105289900	+	2.22	0.000	721.328_r14,775.861_r5
BG721.328_r15	8	105851701	105852150	+	2.77	0.000	721.328_r15
BG721.328_r16	9	96896251	96897050	+	2.22	0.000	721.328_r16
BG1070.42_r1	11	75461151	75461650	+	3.34	0.000	2605.26,1285.44_r1
BG1070.42_r2	11	96977401	96978350	+	2.16	0.000	767.693_r5,2650.83_r1,1070.42_r2,1067.97_r3,1054.25_r5
BG1070.42_r3	14	15769651	15770600	+	1.57	0.000	1070.42_r3,784.027_r6
BG1070.42_r5	17	56462201	56463050	+	3.14	0.000	1070.42_r5
BG1070.42_r6	19	5726251	5727500	+	2.16	0.000	1070.42_r6,702.831,1687.67_r5
BG1070.42_r7	8	84236851	84237900	+	3.34	0.000	1118.87_r13,1070.42_r7,610.355_r22,1900.76_r11
BG1070.42_r8	X	73966451	73967450	+	1.96	0.000	1788.56_r2,2412.17_r2,1052.71_r10
BG1553.63_r1	13	33003301	33004000	+	3.70	0.000	4705.02
BG1553.63_r2	14	55559651	55560900	+	3.14	0.000	1553.63_r2,3971.99_r1
BG1553.63_r3	17	56716901	56717750	+	4.62	0.000	1553.63_r3,971.867_r5
BG903.474_r1	11	116853051	116853750	+	2.36	0.000	903.474_r1,2011.57_r3
BG903.474_r2	14	54893601	54894400	+	2.75	0.000	903.474_r2,675.089_r6
BG903.474_r3	19	10747451	10748100	+	2.36	0.000	759.526_r9
BG903.474_r4	2	3512201	3513250	+	1.96	0.000	903.474_r4,1568.34_r12
BG903.474_r5	2	103797201	103797950	+	2.16	0.000	903.474_r5,832.301_r8
BG2403.65_r10	6	140613151	140614250	+	6.99	0.000	2403.65_r10,2058.07_r1
BG2403.65_r11	7	45778751	45780300	+	4.94	0.000	2403.65_r11,898.364_r9,841.549_r9
BG2403.65_r12	7	127090751	127091850	+	7.84	0.000	2403.65_r12
BG2403.65_r13	8	109750451	109751250	+	4.09	0.000	808.528_r12,2403.65_r13
BG1327.33	12	17387701	17388700	+	2.44	0.000	1012.7_r4,693.586
BG687.426_r1	10	91181801	91182800	+	1.18	0.000	687.426_r1
BG687.426_r2	10	122794101	122795850	+	0.982	0.000	687.426_r2,943.276_r1
BG687.426_r3	15	5116151	5117350	+	0.982	0.000	1951.9_r2,687.426_r3
BG687.426_r4	18	84685101	84686400	+	0.982	0.000	687.426_r4,813.807_r3
BG687.426_r5	19	53899601	53900650	+	0.982	0.000	687.426_r5,1208.13_r1,2557.08_r1
BG687.426_r6	4	150915301	150915950	+	1.77	0.000	687.426_r6
BG1102.54_r1	13	49340701	49342000	+	2.61	0.000	1102.54_r1,1542.77_r7
BG1102.54_r2	15	67175851	67177400	+	1.96	0.000	1102.54_r2,832.302_r8
BG1102.54_r3	15	78982701	78984000	+	2.61	0.000	1102.54_r3,1483.1_r12
BG1102.54_r4	15	83464401	83465150	+	3.10	0.000	1102.54_r4
BG1102.54_r6	2	173085301	173086350	+	2.12	0.000	1102.54_r6,1815.52_r5
BG1102.54_r7	3	115972151	115972950	+	2.12	0.000	2616.74_r6
BG1102.54_r8	4	107066801	107067400	+	2.78	0.000	1645.05_r13,1102.54_r8
BG1102.54_r9	6	122293401	122294200	+	1.96	0.000	1102.54_r9,619.603_r9,2105.32_r1
BG702.357_r10	18	4920251	4921500	+	1.31	0.000	1050.78_r2,702.357_r10
BG702.357_r11	18	44827951	44828550	+	1.47	0.000	702.357_r11,785.629_r1
BG702.357_r13	4	139598701	139599450	+	1.63	0.000	2250.23_r2
BG702.357_r14	4	148034001	148034850	+	1.63	0.000	1900.76_r7,702.357_r14
BG702.357_r16	5	122645151	122646250	+	1.14	0.000	702.357_r16
BG702.357_r17	8	120589001	120589350	+	3.27	0.000	702.357_r17,1276.2_r2,1815.52_r12
BG721.33	12	24650601	24651700	+	1.48	0.000	721.33,669.689_r7
BG657.965_r1	2	20968901	20970200	+	0.982	0.000	3315.67
BG657.965_r2	3	38484451	38485250	+	1.77	0.000	2446.27_r1,657.965_r2,743.192_r13
BG657.965_r3	3	104511601	104512100	+	2.16	0.000	657.965_r3,1233.21_r7
BG657.965_r4	4	83327351	83328550	+	0.982	0.000	1664.6_r3,657.965_r4,2625.26_r2
BG657.965_r5	7	102209651	102210500	+	1.77	0.000	1220.71_r10,657.965_r5
BG657.965_r6	7	125581151	125581950	+	1.37	0.000	931.031_r7,657.965_r6
BG808.527	10	78297751	78298400	+	1.96	0.000	2437.75,808.527
BG808.528	10	12868051	12869050	+	1.80	0.000	2173.51,808.528,610.355_r1
BG815.09_r1	19	3850951	3852550	+	1.96	0.000	815.09_r1,1431.96_r14,677.856_r11,702.832_r9
BG815.09_r2	3	108209901	108210950	+	1.37	0.000	815.09_r2,1491.63_r16
BG815.09_r3	4	41464601	41465250	+	2.16	0.000	628.851_r7
BG815.09_r4	4	55349301	55349800	+	2.95	0.000	815.09_r4
BG815.09_r5	6	125191351	125192150	+	1.57	0.000	815.09_r5,2011.57_r8,767.567_r10
BG815.09_r6	8	34740151	34741050	+	1.77	0.000	815.09_r6
BG815.09_r7	9	21290901	21292000	+	1.37	0.000	816.694_r12
BG815.09_r8	9	32910451	32911250	+	1.96	0.000	815.09_r8
BG3750.38_r1	11	69098251	69099650	+	8.18	0.000	1984.57
BG1525.72	1	180364751	180365650	+	4.94	0.000	1525.72,1094.37
BG1525.89	2	167349251	167349750	+	5.36	0.000	1345.39_r3
BG1404.31_r1	13	63886201	63887350	+	2.55	0.000	915.532_r4
BG1404.31_r2	16	4789851	4790700	+	2.95	0.000	786.494,1404.31_r2,1977.47_r3,1045.37_r7
BG1404.31_r3	18	21001051	21002150	+	2.75	0.000	1404.31_r3,1423.44_r13
BG1404.31_r6	8	11555051	11556650	+	2.95	0.000	1044.03_r2,712.08_r15
BG2275.8_r1	13	24412801	24413900	+	5.11	0.000	2275.8_r1
BG2275.8_r2	15	81810251	81811500	+	4.94	0.000	2275.8_r2
BG2275.8_r3	16	90143001	90144450	+	4.94	0.000	2275.8_r3,816.695_r3
BG2275.8_r4	3	88141901	88143650	+	4.26	0.000	1815.55,878.541_r2,2275.8_r4
BG2275.8_r5	5	118361351	118362500	+	4.60	0.000	832.758_r1,2275.8_r5,767.693_r13
BG1202.21_r10	7	111121751	111123350	+	2.96	0.000	1202.21_r10,2122.37_r10
BG1461.15	14	19992801	19995050	+	3.33	0.000	1461.15,1619.48_r4
BG1461.88	12	105032201	105033000	+	3.59	0.000	1679.28
BG2096.8	1	13371951	13373200	+	2.73	0.000	2096.8
BG1892.24	1	53838301	53839200	+	5.11	0.000	1054.25,1029.04,1892.24
BG1080.24_r1	1	133815901	133816950	+	1.96	0.000	1311.95,841.195_r1,3145.2,1080.24_r1
BG1080.24_r2	10	127311701	127312750	+	2.16	0.000	1080.24_r2
BG1080.24_r3	16	92620901	92621450	+	3.73	0.000	1075.99_r2
BG1080.24_r4	4	145240801	145241550	+	3.73	0.000	2085.91
BG1080.24_r5	5	34513601	34514750	+	1.77	0.000	1900.76_r8,1080.24_r5
BG675.09	1	13639351	13639850	+	1.85	0.000	2003.04,675.09
BG1423.44_r10	16	90284051	90285200	+	3.41	0.000	1423.44_r10
BG1423.44_r11	17	29768801	29769500	+	3.92	0.000	1423.44_r11
BG1423.44_r12	17	56989651	56990850	+	3.58	0.000	1423.44_r12
BG1423.44_r13	18	21001251	21002000	+	4.94	0.000	1404.31_r3,1423.44_r13
BG1423.44_r14	18	39048451	39049400	+	5.46	0.000	1423.44_r14,702.832_r8
BG1423.44_r15	18	56446701	56447550	+	3.75	0.000	1423.44_r15,697.246_r6
BG1423.44_r16	2	153345201	153346050	+	3.92	0.000	1423.44_r16
BG1423.44_r17	2	157456751	157458750	+	2.05	0.000	1423.44_r17
BG1423.44_r18	3	9924551	9925450	+	2.90	0.000	1423.44_r18
BG1423.44_r19	3	52396201	52397100	+	3.24	0.000	675.089_r11,1423.44_r19
BG1423.44_r20	4	20218001	20219400	+	2.39	0.000	1423.44_r20
BG1423.44_r21	4	47474051	47474800	+	4.60	0.000	1423.44_r21,1988.28_r1
BG1423.44_r22	4	132746951	132748550	+	1.88	0.000	1423.44_r22
BG1423.44_r24	7	140856351	140857900	+	1.36	0.000	1423.44_r24,702.832_r17,1021.32_r14
BG1423.44_r25	8	79638751	79639500	+	2.73	0.000	1423.44_r25
BG1423.44_r26	8	123042201	123042950	+	3.41	0.000	677.605_r11,1423.44_r26,1151.54_r8,702.831_r3
BG1423.44_r27	9	20651701	20652150	+	5.97	0.000	1997.52
BG1423.44_r28	9	108035351	108035900	+	4.26	0.000	1423.44_r28
BG3089.8	6	146080401	146082350	+	4.60	0.000	3089.8
BG2812.78_r1	19	46619751	46620850	+	7.33	0.000	645.189_r6
BG2812.78_r2	3	135437251	135439600	+	3.41	0.000	2812.78_r2,610.355_r15,667.785_r5,759.526_r13
BG1479.65	1	184033901	184034950	+	4.99	0.000	2966.21,913.293_r1,1479.65
BG915.532_r10	5	137745651	137746600	+	1.85	0.000	915.532_r10
BG915.532_r11	7	44848351	44849150	+	2.96	0.000	2045.66_r10,1494.55_r5,915.532_r11,1718.57
BG915.532_r12	8	122443401	122444650	+	1.48	0.000	915.532_r12
BG2650.83_r1	11	96977201	96978400	+	5.28	0.000	767.693_r5,2650.83_r1,1070.42_r2,1067.97_r3,1054.25_r5
BG2650.83_r2	11	104582201	104583700	+	4.09	0.000	1063.5_r2,1241.38_r2
BG2650.83_r3	7	19002401	19004300	+	4.77	0.000	953.289_r1,2650.83_r3,1220.71_r9,873.863_r13
BG955.533_r1	11	46461651	46462650	+	2.94	0.000	886.107,2199.08,955.533_r1,1423.95
BG955.533_r2	11	52046051	52046950	+	2.45	0.000	1789.95_r2,955.533_r2,638.098_r3
BG955.533_r3	12	25190201	25190900	+	3.43	0.000	934.413,955.533_r3,736.527_r2
BG955.533_r4	15	27680151	27681550	+	1.80	0.000	955.533_r4
BG955.533_r5	3	131208151	131209100	+	2.12	0.000	2190.56_r5
BG980.266_r1	13	24599351	24600400	+	2.22	0.000	2403.65_r2,980.266_r1,939.198_r2,854.372
BG980.266_r2	14	56296451	56297400	+	1.85	0.000	2616.74_r3
BG980.266_r3	5	123980401	123981500	+	1.85	0.000	980.266_r3
BG980.266_r4	8	71272351	71273900	+	1.85	0.000	980.266_r4,1198.69_r3
BG980.266_r5	8	94601351	94602100	+	3.51	0.000	2829.83_r5,1878.4_r3
BG980.266_r6	8	128646601	128647400	+	3.14	0.000	2667.88_r5,991.379_r1,980.266_r6
BG1000.48_r1	11	33938601	33940100	+	1.32	0.000	1118.87_r1,1000.48_r1
BG1000.48_r2	12	73698651	73699700	+	1.89	0.000	1845.73_r2,1704.71,1000.48_r2
BG1000.48_r3	9	69335951	69336650	+	1.70	0.000	1000.48_r3
BG939.199_r1	11	97187801	97188700	+	1.80	0.000	3000.3_r1,939.199_r1,1294.69_r1
BG939.199_r2	11	102924651	102925700	+	2.61	0.000	939.199_r2
BG939.199_r3	14	121895301	121895950	+	2.78	0.000	1026.51_r2,2199.08_r3,913.295_r3
BG939.199_r4	19	5491051	5492000	+	2.29	0.000	1576.86_r5,939.199_r4,739.824_r13
BG939.199_r5	3	95881801	95882800	+	2.12	0.000	939.199_r5,2770.17_r1
BG939.199_r6	4	11007201	11008000	+	1.80	0.000	939.199_r6
BG939.199_r7	4	129761451	129762250	+	2.45	0.000	2062.71_r8,939.199_r7
BG939.199_r8	4	145221551	145222800	+	1.80	0.000	2787.21,1512.34_r7,939.199_r8
BG939.199_r9	5	30232401	30233250	+	3.76	0.000	939.199_r9
BG1281.56	1	74802501	74803300	+	2.75	0.000	1281.56,963.7
BG980.033_r1	13	22005751	22006600	+	1.96	0.000	2863.92,665.841_r4,980.033_r1
BG980.033_r2	13	74493751	74494800	+	1.96	0.000	980.033_r2
BG980.033_r3	4	88010301	88011200	+	1.63	0.000	716.885,980.033_r3
BG980.033_r4	5	24685151	24686100	+	2.94	0.000	1296.29_r3,2130.9_r11,980.033_r4,647.346_r17
BG2906.54_r1	10	111213551	111215400	+	3.24	0.000	2906.54_r1,1045.37_r2
BG2906.54_r2	11	78245601	78246600	+	7.67	0.000	2090
BG2906.54_r3	12	31949551	31951300	+	3.92	0.000	2906.54_r3
BG2906.54_r4	13	92354051	92355400	+	4.26	0.000	2906.54_r4,1211.46_r2,1168.62_r3
BG2906.54_r7	6	120363451	120364450	+	5.28	0.000	1109.74_r8,865.697_r2
BG923.113_r1	19	33222301	33223750	+	1.37	0.000	1378.02_r2,739.823_r15
BG923.113_r2	3	103385201	103386450	+	1.37	0.000	1170.38_r1,1994.52_r7,823.053_r3,923.113_r2,675.089_r12
BG2347.07	10	19577401	19578650	+	4.52	0.000	1339.38_r1
BG707.066_r1	2	28518201	28518900	+	2.16	0.000	3665.14_r2,707.066_r1
BG707.066_r2	2	164441051	164441700	+	2.16	0.000	707.066_r2
BG707.066_r3	3	19429951	19430400	+	2.55	0.000	1396.42_r1
BG707.066_r4	3	104864801	104865550	+	1.37	0.000	707.066_r4
BG707.066_r5	6	13677501	13678450	+	2.16	0.000	1798.48_r6,707.066_r5,767.693_r14
BG707.066_r6	8	121907701	121908250	+	1.96	0.000	707.066_r6,743.191_r3
BG707.066_r7	9	32940901	32942150	+	1.57	0.000	707.066_r7
BG707.066_r8	9	44417351	44418900	+	0.786	0.000	707.066_r8
BG1205.28_r1	13	55432151	55433050	+	3.36	0.000	3997.56_r1,1205.28_r1
BG1205.28_r3	18	36559851	36560500	+	3.66	0.000	1447.6
BG1205.28_r4	19	53423651	53424400	+	2.75	0.000	2221.41,1008.01_r9,2531.5,1205.28_r4
BG1205.28_r5	2	180024551	180025000	+	3.66	0.000	1205.28_r5,784.027_r16,841.55_r3
BG1205.28_r7	3	138143451	138144150	+	2.75	0.000	2122.37_r7,1205.28_r7,824.862_r3
BG1205.28_r9	7	19507851	19508950	+	2.44	0.000	2284.32_r9,785.629_r3
BG2343.99_r1	16	78537301	78538550	+	3.58	0.000	800.361_r6,823.054_r3
BG2343.99_r2	2	144526801	144527800	+	6.48	0.000	1122.99,2433.75_r2
BG2343.99_r3	6	31191451	31192850	+	4.26	0.000	2343.99_r3
BG3912.33_r1	17	84434551	84436500	+	6.48	0.000	3912.33_r1,1429.22_r3
BG1807_r10	19	53807051	53807800	+	4.26	0.000	1807_r10,1237.37_r2,800.36_r8
BG1807_r11	2	11338751	11339900	+	3.41	0.000	1807_r11
BG1807_r12	2	60774251	60775750	+	3.92	0.000	1807_r12
BG1807_r13	2	166621951	166623000	+	5.80	0.000	1807_r13
BG1807_r14	4	126255651	126257100	+	4.77	0.000	1807_r14,1020.87_r7,702.833_r12
BG1807_r15	6	73248101	73249300	+	4.26	0.000	1807_r15,1037.2_r10
BG1807_r16	6	125131301	125132850	+	4.94	0.000	1807_r16
BG1807_r17	7	100606851	100608050	+	4.43	0.000	1807_r17,939.2
BG1236.45_r1	7	16055051	16057700	+	0.944	0.000	1236.45_r1
BG2446.27	14	65102301	65102950	+	7.67	0.000	610.356_r1,2446.27,628.855_r9
BG2241.7_r1	11	49243101	49245000	+	4.09	0.000	2241.7_r1,610.356,1494.55
BG2241.7_r2	11	68441851	68443950	+	2.90	0.000	2241.7_r2,1492.69,1306.71_r1
BG2241.7_r3	11	117654251	117655050	+	7.33	0.000	702.358_r1,834.731,2241.7_r3
BG2241.7_r4	14	16364701	16365500	+	6.31	0.000	1159.71_r1,2241.7_r4,677.605_r6
BG2241.7_r6	17	33563401	33564250	+	6.31	0.000	2241.7_r6,1249.54_r7,736.527_r4
BG2241.7_r7	3	95818851	95819850	+	4.94	0.000	1091.24_r11,2241.7_r7,962.396_r7
BG2241.7_r8	4	139191951	139193200	+	5.46	0.000	1303.94_r8
BG2241.7_r9	5	8675301	8676200	+	5.63	0.000	1086.2_r15
BG3861.18	8	84066401	84067550	+	9.72	0.000	730.575_r6,1723.22_r3,3861.18,716.887_r6
