#Name (cmd = mergePeaks 03_motif/cluster_1_homer_VS_bgPeaks/bg.clean.pos 03_motif/cluster_1_homer_VS_bgPeaks/target.clean..pos -d given -cobound 1 -prefix 03_motif/cluster_1_homer_VS_bgPeaks/0.00906655106610188.2.tmp)	chr	start	end	strand	stat	stat2	03_motif/cluster_1_homer_VS_bgPeaks/target.clean..pos
BG1540.93_r1	12	112588401	112589400	+	3.05	0.000	1340.93_r1,1540.93_r1,3187.82,1265.88_r3
BG1540.93_r2	15	64205801	64206900	+	3.66	0.000	3051.44,864.193,915.535_r1,1540.93_r2,1331.21_r2
BG6725.11_r1	4	118179401	118180550	+	17.7	0.000	945.114,1868.05_r1,2450.08,6725.11_r1,1266.83_r4,1601.96_r1
BG3383.86	1	10037651	10038650	+	9.21	0.000	3383.86,857.529
BG2437.74_r4	2	167931701	167932850	+	4.26	0.000	1421.05_r2,2437.74_r4
BG833.029_r3	17	26138051	26138900	+	2.29	0.000	3213.39_r2,943.275_r2,833.029_r3
BG833.029_r4	17	64331951	64333050	+	2.45	0.000	3452.05_r1
BG833.029_r5	17	84180751	84181850	+	2.29	0.000	1011.5_r9,833.029_r5
BG833.029_r7	7	43399701	43400450	+	1.96	0.000	991.388,2480.36_r2
BG3878.23	9	7872351	7873700	+	9.03	0.000	3878.23,924.974_r5,1561.44_r1,1037.46_r9,1535.39_r4,1045_r9
BG2795.74_r1	4	120974751	120975850	+	6.65	0.000	971.866_r8,1283.64_r3,2795.74_r1,1315.93_r3,1054.25_r15
BG2795.74_r2	5	33628701	33630350	+	4.77	0.000	2795.74_r2,972.216_r10,1176.04_r10
BG1698.72_r1	17	83276851	83277900	+	3.92	0.000	1943.38,1139.16_r6,1303.94_r3
BG1698.72_r2	5	37051151	37052250	+	4.08	0.000	2062.28_r3,3937.9,1081.99_r5,1698.72_r2
BG1233.21_r1	16	46022001	46022750	+	2.61	0.000	7014.91,964.943,915.536_r1,1233.21_r1,1766.33_r1
BG1233.21_r4	17	84119301	84120100	+	3.43	0.000	1394.49_r5,1233.21_r4
BG1233.21_r5	19	28011251	28011650	+	4.25	0.000	1388.36_r2,1233.21_r5,2139.42_r5
BG1233.21_r7	3	104511651	104513200	+	3.27	0.000	2693.45_r5
BG1233.21_r8	4	108327601	108328450	+	2.78	0.000	2770.17_r2,1233.21_r8,1377.92_r5,2366.71
BG1233.21_r9	5	135024801	135025600	+	4.25	0.000	1373.1_r3,850.797_r5,1926.33_r8,1233.21_r9
BG792.193_r5	2	172433651	172434250	+	2.45	0.000	792.193_r5
BG721.328_r10	4	137853651	137854350	+	1.66	0.000	1020.87_r8,1099.88_r2,721.328_r10
BG721.328_r12	6	47813401	47814000	+	2.22	0.000	1274.04_r7,3545.81_r1
BG1070.42_r1	11	75461151	75461650	+	3.34	0.000	1670.62_r8,1070.42_r1
BG1070.42_r4	16	18288901	18289800	+	2.36	0.000	1690.56_r1,1070.42_r4,2770.16_r1,1357.85_r2
BG1070.42_r5	17	56462201	56463050	+	3.14	0.000	3562.86_r1,767.693_r10,1118.98_r5
BG1070.42_r8	X	73966451	73967450	+	1.96	0.000	1070.42_r8,749.072_r13
BG5218.68	15	103239051	103240900	+	9.15	0.000	8319.02,5218.68,2759.52,962.728_r1,1190.02_r7
BG1553.63_r1	13	33003301	33004000	+	3.70	0.000	1553.63_r1
BG1553.63_r2	14	55559651	55560900	+	3.14	0.000	1274.04_r1
BG903.474_r3	19	10747451	10748100	+	2.36	0.000	2565.6_r3,647.346_r12,1044.03_r1,903.474_r3
BG3168.77	7	127208101	127209750	+	8.66	0.000	3168.77,7517.8,1174.47_r6,1983.37_r1
BG2403.65_r12	7	127090751	127091850	+	7.84	0.000	805.27_r5,1625.22_r5
BG1327.33	12	17387701	17388700	+	2.44	0.000	2753.12_r1,1327.33,1123.18_r1
BG1102.54_r5	15	85634451	85635150	+	3.59	0.000	2667.88_r1,739.824_r10,923.114_r1,1102.54_r5
BG1102.54_r7	3	115972151	115972950	+	2.12	0.000	610.355_r14,1102.54_r7
BG702.357_r12	19	14597501	14598550	+	2.29	0.000	702.357_r12,3528.76_r1
BG702.357_r13	4	139598701	139599450	+	1.63	0.000	702.357_r13,1021.32_r8
BG702.357_r15	5	54101051	54101800	+	2.29	0.000	3281.58_r1,702.357_r15,795.311_r8
BG657.965_r1	2	20968901	20970200	+	0.982	0.000	657.965_r1
BG657.965_r3	3	104511601	104512100	+	2.16	0.000	2693.45_r5
BG2131.02_r1	8	70538651	70539900	+	4.32	0.000	2131.02_r1,5327.24,1551.72_r1
BG815.09_r3	4	41464601	41465250	+	2.16	0.000	2369.56_r5,815.09_r3,653.356_r13
BG815.09_r7	9	21290901	21292000	+	1.37	0.000	2531.5_r4,1155.98_r1,815.09_r7
BG5020.39	16	43698751	43699800	+	11.4	0.000	793.102,2833.93,2405.99,972.166_r1,647.346_r8,1632.47_r4,5020.39
BG3750.38_r1	11	69098251	69099650	+	8.18	0.000	1692.35,3750.38_r1
BG1525.67	11	116255451	116256500	+	4.58	0.000	1525.67,1738.81_r7
BG1525.89	2	167349251	167349750	+	5.36	0.000	1687.67_r10,669.689_r12,1525.89
BG2940.63	11	46389251	46390000	+	10.1	0.000	2940.63,1184.4,1069.87_r3
BG2940.64	15	103257601	103258850	+	7.84	0.000	2940.64,669.689_r10,1239.21
BG1404.31_r1	13	63886201	63887350	+	2.55	0.000	1396.55_r1,1404.31_r1
BG1404.31_r4	2	32714551	32715850	+	3.34	0.000	1510.41_r3,1404.31_r4,1424.16_r1,4304.41,1298.55
BG1404.31_r5	7	45082501	45083850	+	2.75	0.000	2425.58_r1,5242,1116.95,961.77_r4,1404.31_r5,1113.74_r15
BG1404.31_r6	8	11555051	11556650	+	2.95	0.000	5054.49,1404.31_r6,1176.04_r11
BG1461.88	12	105032201	105033000	+	3.59	0.000	1461.88,3920.85,2376.68
BG1793.32	3	152911451	152913450	+	3.40	0.000	1793.32,1600.72_r4,1617.21_r3,2131.57_r2,5557.37,1664.6_r2
BG2131.02	11	87591751	87592550	+	5.89	0.000	4287.65,2685.18,10040.8,991.379,1220.71_r2,2131.02
BG2131.57	1	193200801	193202000	+	4.25	0.000	2450.67,1217.57_r1,2131.57,2242.73,3170.78
BG1080.24_r3	16	92620901	92621450	+	3.73	0.000	3562.86,1600.72_r5,1080.24_r3
BG1080.24_r4	4	145240801	145241550	+	3.73	0.000	2923.59_r5,1026.51_r6,1363.88_r9,1080.24_r4
BG1423.44_r23	5	34169051	34169900	+	3.07	0.000	1738.59,1052.71_r6,1423.44_r23,2139.74_r1,1198.08_r2
BG1423.44_r27	9	20651701	20652150	+	5.97	0.000	898.364_r13,736.528_r4,1423.44_r27,1052.71_r9
BG3089.8	6	146080401	146082350	+	4.60	0.000	1017.26_r12,677.856_r15
BG1991.53	2	114145001	114145950	+	5.85	0.000	4377.48,9631.65,2631.86,2776.72_r1,1361.49,1114.22,1128.23_r7,1991.53
BG2812.78_r1	19	46619751	46620850	+	7.33	0.000	932.933,1100.49_r8,2812.78_r1
BG1479.65	1	184033901	184034950	+	4.99	0.000	1649.72
BG2650.83_r2	11	104582201	104583700	+	4.09	0.000	2650.83_r2
BG1083.23	1	13593101	13593800	+	2.44	0.000	882.03,906.097,3775.95,1083.23,903.473
BG955.533_r5	3	131208151	131209100	+	2.12	0.000	955.533_r5,972.216_r8,860.046_r3
BG955.533_r6	5	62791051	62791450	+	3.59	0.000	1119.52_r5,1211.46_r3,2744.6_r2,955.533_r6
BG2760.43	2	140042251	140043250	+	8.82	0.000	3005.57,5736.37_r1,1821.63,2494.37,860.045_r10,1361.49_r1,2760.43
BG1109.7	1	87636851	87637950	+	1.77	0.000	5736.37,943.851,1627.61,1109.7,1519.05_r1
BG980.266_r2	14	56296451	56297400	+	1.85	0.000	980.266_r2,637.022_r15
BG980.266_r4	8	71272351	71273900	+	1.85	0.000	914.698_r17,3707.76_r1
BG980.266_r5	8	94601351	94602100	+	3.51	0.000	1266.83_r8,980.266_r5
BG939.199_r3	14	121895301	121895950	+	2.78	0.000	939.199_r3
BG2906.54_r2	11	78245601	78246600	+	7.67	0.000	1772.23,2906.54_r2,1174.77_r3,1028.8_r1
BG2906.54_r5	15	77841851	77842750	+	7.50	0.000	1461.88_r2,1158.8_r1,2906.54_r5,730.576_r5
BG2906.54_r6	3	88509451	88510650	+	5.97	0.000	1502.72_r2,2906.54_r6,1205.28_r6
BG2906.54_r7	6	120363451	120364450	+	5.28	0.000	2906.54_r7
BG923.113_r1	19	33222301	33223750	+	1.37	0.000	1943.73,923.113_r1,3775.95_r1
BG3017.35_r1	8	70760251	70761700	+	5.28	0.000	3017.35_r1,1421.05_r7,823.054_r13,1001.68_r11
BG3430.93	14	67715401	67716600	+	9.62	0.000	3430.93,4009.97,2356.89_r1,6350.07,1205.28_r2
BG2347.07	10	19577401	19578650	+	4.52	0.000	1179.81,3724.81,2691.11,2347.07
BG707.066_r3	3	19429951	19430400	+	2.55	0.000	2025.4,4977.77,707.066_r3
BG1205.28_r1	13	55432151	55433050	+	3.36	0.000	934.027_r3,1355.21_r1,710.525_r4
BG1205.28_r2	14	67715651	67716400	+	3.66	0.000	3430.93,4009.97,2356.89_r1,6350.07,1205.28_r2
