chrom	start	end	num	list	early	late	terminal	memory	shCd19	shRunx3
1	3353123	3353386	1	shCd19	0	0	0	0	1	0
1	3502768	3503002	1	shCd19	0	0	0	0	1	0
1	4066275	4066587	1	early	1	0	0	0	0	0
1	4094587	4094952	1	terminal	0	0	1	0	0	0
1	4545002	4545353	1	memory	0	0	0	1	0	0
1	4548790	4549070	1	terminal	0	0	1	0	0	0
1	4720569	4721091	1	terminal	0	0	1	0	0	0
1	4807416	4807731	1	shCd19	0	0	0	0	1	0
1	4808563	4808878	1	memory	0	0	0	1	0	0
1	5034301	5034602	1	memory	0	0	0	1	0	0
1	5217048	5217286	1	shRunx3	0	0	0	0	0	1
1	5412005	5412340	1	memory	0	0	0	1	0	0
1	5436787	5437182	1	shCd19	0	0	0	0	1	0
1	5453213	5453446	1	memory	0	0	0	1	0	0
1	5495544	5495981	1	terminal	0	0	1	0	0	0
1	5926832	5927186	1	terminal	0	0	1	0	0	0
1	6076689	6076990	1	memory	0	0	0	1	0	0
1	6164389	6164799	1	early	1	0	0	0	0	0
1	6342577	6342921	1	terminal	0	0	1	0	0	0
1	6634103	6634350	1	memory	0	0	0	1	0	0
1	6974448	6974720	1	shRunx3	0	0	0	0	0	1
1	6997511	6997793	1	memory	0	0	0	1	0	0
1	7391178	7391381	1	shCd19	0	0	0	0	1	0
1	7879074	7879368	1	late	0	1	0	0	0	0
1	8403444	8403834	1	late	0	1	0	0	0	0
1	8921754	8921970	1	shRunx3	0	0	0	0	0	1
1	9065466	9065822	1	late	0	1	0	0	0	0
1	9067082	9067656	1	shRunx3	0	0	0	0	0	1
1	9189766	9190035	1	shRunx3	0	0	0	0	0	1
1	9331126	9331437	1	terminal	0	0	1	0	0	0
1	9397349	9397716	1	shCd19	0	0	0	0	1	0
1	9406429	9406938	1	shCd19	0	0	0	0	1	0
1	9596917	9597448	1	terminal	0	0	1	0	0	0
1	9673443	9673774	1	memory	0	0	0	1	0	0
1	9712204	9712440	1	terminal	0	0	1	0	0	0
1	9770597	9770853	1	terminal	0	0	1	0	0	0
1	9807571	9807820	1	terminal	0	0	1	0	0	0
1	9847930	9848251	1	shCd19	0	0	0	0	1	0
1	10121499	10121717	1	shCd19	0	0	0	0	1	0
1	10122628	10122899	1	shCd19	0	0	0	0	1	0
1	10412867	10413075	1	shRunx3	0	0	0	0	0	1
1	10417237	10417429	1	shRunx3	0	0	0	0	0	1
1	10477264	10477796	1	shCd19	0	0	0	0	1	0
1	10616487	10616911	1	late	0	1	0	0	0	0
1	10792605	10792891	1	terminal	0	0	1	0	0	0
1	11116082	11116343	1	shRunx3	0	0	0	0	0	1
1	11182601	11183068	1	terminal	0	0	1	0	0	0
1	11837772	11838557	1	early	1	0	0	0	0	0
1	12044629	12045000	1	terminal	0	0	1	0	0	0
1	12087540	12087819	1	shCd19	0	0	0	0	1	0
1	12117668	12117900	1	shCd19	0	0	0	0	1	0
1	12210677	12211069	1	late	0	1	0	0	0	0
1	12556924	12557224	1	shRunx3	0	0	0	0	0	1
1	12736052	12736340	1	shCd19	0	0	0	0	1	0
1	12775779	12776123	1	early	1	0	0	0	0	0
1	12950675	12950964	1	shRunx3	0	0	0	0	0	1
1	12965836	12966230	1	late	0	1	0	0	0	0
1	13029680	13029917	1	shCd19	0	0	0	0	1	0
1	13168488	13168880	1	terminal	0	0	1	0	0	0
