chrom	start	end	num	list	early	late	terminal	memory	shCd19	shRunx3
1	3135673	3136191	1	shCd19	0	0	0	0	1	0
1	3231676	3232164	1	shRunx3	0	0	0	0	0	1
1	3315692	3316025	1	shRunx3	0	0	0	0	0	1
1	3344211	3344651	1	shRunx3	0	0	0	0	0	1
1	3366154	3366595	1	shCd19	0	0	0	0	1	0
1	3375547	3375829	1	shCd19	0	0	0	0	1	0
1	3378692	3378886	1	terminal	0	0	1	0	0	0
1	3378886	3379103	2	terminal,shCd19	0	0	1	0	1	0
1	3379103	3379110	1	terminal	0	0	1	0	0	0
1	3422155	3422367	1	shRunx3	0	0	0	0	0	1
1	3425101	3425356	1	shRunx3	0	0	0	0	0	1
1	3434493	3434745	1	shCd19	0	0	0	0	1	0
1	3445482	3445699	1	shRunx3	0	0	0	0	0	1
1	3475518	3475744	1	shRunx3	0	0	0	0	0	1
1	3484213	3484503	1	shRunx3	0	0	0	0	0	1
1	3493389	3493752	1	shRunx3	0	0	0	0	0	1
1	3542079	3542277	1	shRunx3	0	0	0	0	0	1
1	3572929	3573361	1	shRunx3	0	0	0	0	0	1
1	3594799	3595034	1	shRunx3	0	0	0	0	0	1
1	3718113	3718556	1	shCd19	0	0	0	0	1	0
1	3720432	3720665	1	shRunx3	0	0	0	0	0	1
1	3764674	3764882	1	shCd19	0	0	0	0	1	0
1	3796179	3796396	1	shCd19	0	0	0	0	1	0
1	3839535	3839747	1	shCd19	0	0	0	0	1	0
1	3880685	3880898	1	shCd19	0	0	0	0	1	0
1	3891951	3892301	1	terminal	0	0	1	0	0	0
1	3912435	3912655	1	shCd19	0	0	0	0	1	0
1	3925954	3926162	1	shRunx3	0	0	0	0	0	1
1	3930374	3930583	1	shCd19	0	0	0	0	1	0
1	3972954	3973208	1	shRunx3	0	0	0	0	0	1
1	4005665	4005979	1	shCd19	0	0	0	0	1	0
1	4067173	4067558	1	shCd19	0	0	0	0	1	0
1	4078749	4078952	1	shRunx3	0	0	0	0	0	1
1	4096774	4096977	1	shRunx3	0	0	0	0	0	1
1	4108049	4108263	1	shRunx3	0	0	0	0	0	1
1	4109931	4110133	1	shCd19	0	0	0	0	1	0
1	4122879	4123079	1	shCd19	0	0	0	0	1	0
1	4123293	4123506	1	shCd19	0	0	0	0	1	0
1	4137093	4137290	1	shCd19	0	0	0	0	1	0
1	4140118	4140660	1	shCd19	0	0	0	0	1	0
1	4202238	4202498	1	shCd19	0	0	0	0	1	0
1	4210159	4210548	1	terminal	0	0	1	0	0	0
1	4273869	4274134	1	terminal	0	0	1	0	0	0
1	4323638	4323952	1	shRunx3	0	0	0	0	0	1
1	4353357	4353710	1	shRunx3	0	0	0	0	0	1
