chrom	start	end	num	list	early_Runx1	early_Runx3	late_Runx1	late_Runx3	terminal_Runx1	terminal_Runx3	memory_Runx1	memory_Runx3	shCd19_Runx1	shCd19_Runx3	shRunx3_Runx1	shRunx3_Runx3
1	3353123	3353386	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	3422155	3422367	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3425101	3425356	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3502768	3503002	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	4066275	4066587	1	early_Runx1	1	0	0	0	0	0	0	0	0	0	0	0
1	4094587	4094952	1	terminal_Runx1	0	0	0	0	1	0	0	0	0	0	0	0
1	4545002	4545353	1	memory_Runx1	0	0	0	0	0	0	1	0	0	0	0	0
1	4548790	4549070	1	terminal_Runx1	0	0	0	0	1	0	0	0	0	0	0	0
1	4720569	4721091	1	terminal_Runx1	0	0	0	0	1	0	0	0	0	0	0	0
1	4807416	4807731	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	4808563	4808878	1	memory_Runx1	0	0	0	0	0	0	1	0	0	0	0	0
1	4859958	4860225	1	memory_Runx3	0	0	0	0	0	0	0	1	0	0	0	0
1	5034301	5034602	1	memory_Runx1	0	0	0	0	0	0	1	0	0	0	0	0
1	5217048	5217286	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	5412005	5412340	1	memory_Runx1	0	0	0	0	0	0	1	0	0	0	0	0
1	5436787	5437182	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	5453213	5453446	1	memory_Runx1	0	0	0	0	0	0	1	0	0	0	0	0
1	5495544	5495981	1	terminal_Runx1	0	0	0	0	1	0	0	0	0	0	0	0
1	5926832	5927186	1	terminal_Runx1	0	0	0	0	1	0	0	0	0	0	0	0
1	6076689	6076990	1	memory_Runx1	0	0	0	0	0	0	1	0	0	0	0	0
1	6164389	6164799	1	early_Runx1	1	0	0	0	0	0	0	0	0	0	0	0
1	6342577	6342921	1	terminal_Runx1	0	0	0	0	1	0	0	0	0	0	0	0
1	6634103	6634350	1	memory_Runx1	0	0	0	0	0	0	1	0	0	0	0	0
1	6845472	6845715	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	6974448	6974720	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	6997511	6997793	1	memory_Runx1	0	0	0	0	0	0	1	0	0	0	0	0
1	7264422	7264771	1	memory_Runx3	0	0	0	0	0	0	0	1	0	0	0	0
1	7391178	7391381	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	7454450	7454694	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	7570836	7571170	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	7816923	7817396	1	memory_Runx3	0	0	0	0	0	0	0	1	0	0	0	0
1	7879074	7879368	1	late_Runx1	0	0	1	0	0	0	0	0	0	0	0	0
1	8024793	8025030	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	8403444	8403834	1	late_Runx1	0	0	1	0	0	0	0	0	0	0	0	0
1	8485845	8486193	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	8737770	8738108	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	8785414	8785635	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	8844034	8844307	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
