chrom	start	end	num	list	early	late	terminal	memory	shCd19	shRunx3
1	3422155	3422367	1	shRunx3	0	0	0	0	0	1
1	3425101	3425356	1	shRunx3	0	0	0	0	0	1
1	4859958	4860225	1	memory	0	0	0	1	0	0
1	6845472	6845715	1	shCd19	0	0	0	0	1	0
1	7264422	7264771	1	memory	0	0	0	1	0	0
1	7454450	7454694	1	shRunx3	0	0	0	0	0	1
1	7570836	7571170	1	shRunx3	0	0	0	0	0	1
1	7816923	7817396	1	memory	0	0	0	1	0	0
1	8024793	8025030	1	shCd19	0	0	0	0	1	0
1	8485845	8486193	1	shRunx3	0	0	0	0	0	1
1	8737770	8738108	1	shRunx3	0	0	0	0	0	1
1	8785414	8785635	1	shRunx3	0	0	0	0	0	1
1	8844034	8844307	1	shRunx3	0	0	0	0	0	1
1	9257666	9258004	1	memory	0	0	0	1	0	0
1	9568031	9568531	1	memory	0	0	0	1	0	0
1	9675018	9675350	1	shRunx3	0	0	0	0	0	1
1	9847924	9848665	1	shCd19	0	0	0	0	1	0
1	10037919	10038417	1	shCd19	0	0	0	0	1	0
1	11315803	11316210	1	late	0	1	0	0	0	0
1	11557531	11557883	1	shRunx3	0	0	0	0	0	1
1	11946483	11946682	1	shRunx3	0	0	0	0	0	1
1	12919834	12920094	1	shRunx3	0	0	0	0	0	1
1	13593120	13593820	1	shCd19	0	0	0	0	1	0
1	13609887	13610525	1	terminal	0	0	1	0	0	0
1	13659703	13660843	1	shCd19	0	0	0	0	1	0
1	14447089	14447395	1	shRunx3	0	0	0	0	0	1
1	14486694	14486986	1	early	1	0	0	0	0	0
1	14661110	14661598	1	early	1	0	0	0	0	0
1	15400311	15400700	1	memory	0	0	0	1	0	0
1	15686547	15686815	1	terminal	0	0	1	0	0	0
1	15802857	15803227	1	late	0	1	0	0	0	0
1	16461593	16461906	1	shRunx3	0	0	0	0	0	1
1	16993673	16994094	1	memory	0	0	0	1	0	0
1	17156370	17156725	1	shRunx3	0	0	0	0	0	1
1	17408104	17408449	1	memory	0	0	0	1	0	0
1	17662120	17662555	1	memory	0	0	0	1	0	0
1	17806157	17806396	1	shRunx3	0	0	0	0	0	1
1	17856379	17856615	1	shRunx3	0	0	0	0	0	1
