chrom	start	end	num	list	early	late	terminal	memory	shCd19	shRunx3
1	3051946	3052151	1	shCd19	0	0	0	0	1	0
1	3124168	3124443	1	terminal	0	0	1	0	0	0
1	3125590	3125818	1	shCd19	0	0	0	0	1	0
1	3187573	3187880	1	terminal	0	0	1	0	0	0
1	3208470	3208722	1	shRunx3	0	0	0	0	0	1
1	3210877	3211144	1	shRunx3	0	0	0	0	0	1
1	3244122	3244326	1	shCd19	0	0	0	0	1	0
1	3285021	3285279	1	shRunx3	0	0	0	0	0	1
1	3286805	3287050	1	shRunx3	0	0	0	0	0	1
1	3333297	3333519	1	shCd19	0	0	0	0	1	0
1	3353123	3353386	1	shCd19	0	0	0	0	1	0
1	3398432	3398672	1	shCd19	0	0	0	0	1	0
1	3400334	3400529	1	shRunx3	0	0	0	0	0	1
1	3425538	3425944	1	shCd19	0	0	0	0	1	0
1	3502768	3503002	1	shCd19	0	0	0	0	1	0
1	3651722	3651930	1	shRunx3	0	0	0	0	0	1
1	3676352	3676551	1	shRunx3	0	0	0	0	0	1
1	3693883	3694512	1	shRunx3	0	0	0	0	0	1
1	3789790	3790044	1	shCd19	0	0	0	0	1	0
1	3830406	3830778	1	shRunx3	0	0	0	0	0	1
1	4066275	4066587	1	early	1	0	0	0	0	0
1	4094587	4094952	1	terminal	0	0	1	0	0	0
1	4099433	4099655	1	shRunx3	0	0	0	0	0	1
1	4172075	4172275	1	shRunx3	0	0	0	0	0	1
1	4197763	4198103	1	terminal	0	0	1	0	0	0
1	4330017	4330410	1	terminal	0	0	1	0	0	0
1	4462534	4462735	1	shCd19	0	0	0	0	1	0
1	4545002	4545353	1	memory	0	0	0	1	0	0
1	4548790	4549070	1	terminal	0	0	1	0	0	0
1	4580686	4581010	1	shRunx3	0	0	0	0	0	1
1	4593414	4593626	1	shCd19	0	0	0	0	1	0
1	4704337	4704732	1	shRunx3	0	0	0	0	0	1
1	4713107	4713378	1	shCd19	0	0	0	0	1	0
1	4720569	4721091	1	terminal	0	0	1	0	0	0
1	4724514	4724795	1	terminal	0	0	1	0	0	0
1	4741797	4742090	1	shCd19	0	0	0	0	1	0
1	4752372	4752574	1	shCd19	0	0	0	0	1	0
1	4807416	4807731	1	shCd19	0	0	0	0	1	0
1	4808563	4808878	1	memory	0	0	0	1	0	0
1	4979789	4980049	1	shRunx3	0	0	0	0	0	1
