chrom	start	end	num	list	early_Runx1	early_Runx3	late_Runx1	late_Runx3	terminal_Runx1	terminal_Runx3	memory_Runx1	memory_Runx3	shCd19_Runx1	shCd19_Runx3	shRunx3_Runx1	shRunx3_Runx3
1	3051946	3052151	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	3124168	3124443	1	terminal_Runx1	0	0	0	0	1	0	0	0	0	0	0	0
1	3125590	3125818	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	3135673	3136191	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3187573	3187880	1	terminal_Runx1	0	0	0	0	1	0	0	0	0	0	0	0
1	3208470	3208722	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	3210877	3211144	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	3231676	3232164	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3244122	3244326	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	3285021	3285279	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	3286805	3287050	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	3315692	3316025	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3333297	3333519	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	3344211	3344651	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3353123	3353386	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	3366154	3366595	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3375547	3375829	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3378692	3378886	1	terminal_Runx3	0	0	0	0	0	1	0	0	0	0	0	0
1	3378886	3379103	2	terminal_Runx3,shCd19_Runx3	0	0	0	0	0	1	0	0	0	1	0	0
1	3379103	3379110	1	terminal_Runx3	0	0	0	0	0	1	0	0	0	0	0	0
1	3398432	3398672	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	3400334	3400529	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	3422155	3422367	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3425101	3425356	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3425538	3425944	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	3434493	3434745	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3445482	3445699	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3475518	3475744	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3484213	3484503	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3493389	3493752	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3502768	3503002	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	3542079	3542277	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3572929	3573361	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3594799	3595034	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3651722	3651930	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	3676352	3676551	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	3693883	3694512	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	3718113	3718556	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3720432	3720665	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3764674	3764882	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3789790	3790044	1	shCd19_Runx1	0	0	0	0	0	0	0	0	1	0	0	0
1	3796179	3796396	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3830406	3830778	1	shRunx3_Runx1	0	0	0	0	0	0	0	0	0	0	1	0
1	3839535	3839747	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3880685	3880898	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3891951	3892301	1	terminal_Runx3	0	0	0	0	0	1	0	0	0	0	0	0
1	3912435	3912655	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3925954	3926162	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	3930374	3930583	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	3972954	3973208	1	shRunx3_Runx3	0	0	0	0	0	0	0	0	0	0	0	1
1	4005665	4005979	1	shCd19_Runx3	0	0	0	0	0	0	0	0	0	1	0	0
1	4066275	4066587	1	early_Runx1	1	0	0	0	0	0	0	0	0	0	0	0
